24,19,1,3,1
151,16,2,2,1
154,3,2,1,1
47,13,2,2,1
129,15,2,1,1
138,19,2,1,1
178,9,2,1,1
111,19,2,3,1
129,8,2,3,1
89,11,2,1,1
205,5,2,3,1
183,19,1,3,1
63,17,1,3,1
77,14,2,3,1
69,10,2,3,1
79,19,1,3,1
97,14,2,1,1
186,10,1,1,1
192,12,1,3,1
119,13,2,1,1
136,20,2,2,1
131,9,2,3,1
61,11,2,3,1
43,20,2,3,1
74,7,2,2,1
84,18,1,2,1
11,16,1,1,1
208,18,2,2,1
208,12,1,1,1
17,2,2,3,1
43,13,1,1,1
104,11,2,1,1
126,7,2,3,1
151,16,1,2,1
94,4,1,3,1
149,14,2,2,1
104,2,1,1,1
17,18,2,3,1
174,16,2,3,1
49,12,2,1,1
87,11,2,3,1
167,11,2,1,1
88,9,2,3,1
125,14,1,3,1
207,1,1,1,1
9,9,2,3,1
111,2,2,3,1
38,15,1,3,1
62,6,2,1,1
65,19,2,3,1
82,7,2,1,1
22,12,2,1,1
130,17,2,3,1
11,19,1,1,1
137,14,2,1,1
1,13,2,1,1
184,7,1,3,1
30,16,1,3,1
99,11,2,3,1
117,7,1,1,1
55,3,2,3,1
209,11,1,3,1
149,14,2,1,1
110,1,2,3,1
53,3,1,3,1
179,16,2,3,1
25,14,2,3,1
156,19,2,3,1
150,8,2,1,1
100,2,1,2,1
135,5,2,3,1
44,17,1,3,1
32,14,1,3,1
30,16,2,3,1
21,16,2,1,1
13,8,2,3,1
92,5,2,3,1
174,3,2,3,1
185,9,1,1,1
147,12,2,1,1
167,17,2,3,1
88,11,2,1,1
31,15,2,2,1
93,13,2,3,1
212,5,2,3,1
196,19,1,3,1
127,7,1,1,1
205,19,2,3,1
134,10,2,1,1
91,6,2,1,1
81,17,1,3,1
50,15,1,3,1
40,9,2,1,1
22,18,2,3,1
61,5,1,3,1
121,1,1,1,1
48,5,2,1,1
40,9,1,2,1
143,9,2,2,1
132,13,1,2,1
14,5,2,3,1
51,8,2,3,1
174,11,1,2,1
160,16,2,3,1
191,14,2,3,1
46,11,1,3,1
167,17,1,3,1
50,7,2,3,1
165,9,1,1,1
171,8,2,3,1
109,4,1,1,1
60,9,2,3,1
22,17,2,3,1
55,14,1,2,1
82,16,1,3,1
33,14,2,3,1
7,1,2,2,1
83,5,2,3,1
40,10,2,3,1
200,10,2,2,1
212,15,2,1,1
111,9,2,2,1
68,7,2,3,1
87,18,1,3,1
124,17,2,2,1
84,13,1,1,1
153,18,2,2,1
6,3,2,1,1
35,7,1,3,1
62,11,1,3,1
178,1,2,1,1
37,14,2,2,1
165,1,2,3,1
187,15,2,2,1
51,20,2,3,1
22,3,2,1,1
152,4,1,1,1
7,20,2,2,1
123,14,1,2,1
10,7,2,3,1
104,2,1,3,1
150,11,2,3,1
184,7,1,1,1
127,20,1,1,1
192,12,1,1,1
212,9,2,1,1
12,11,2,1,1
183,12,2,3,1
17,9,2,3,1
72,17,2,3,1
127,10,2,3,1
50,19,2,1,1
210,10,2,2,1
19,19,2,3,1
60,10,2,2,1
75,16,2,1,1
104,19,2,2,1
185,9,2,3,1
160,1,2,1,1
141,7,2,3,1
22,18,1,3,1
120,19,1,1,1
129,15,1,3,1
45,11,1,3,1
150,6,1,1,1
172,12,1,3,1
196,19,2,3,1
119,3,1,2,1
92,13,1,2,1
95,5,1,3,1
12,2,2,3,1
46,3,1,2,1
111,19,1,1,1
96,18,2,1,1
187,15,2,3,1
168,18,1,1,1
172,15,2,1,1
2,7,2,1,1
14,5,1,3,1
191,11,2,1,1
110,17,1,2,1
42,9,1,1,1
50,1,1,1,1
143,2,2,1,1
143,9,2,3,1
6,3,2,3,1
196,3,2,1,1
76,3,2,1,1
160,13,2,2,1
7,10,2,3,1
108,1,1,2,1
80,7,2,3,1
52,5,1,2,1
31,10,1,3,1
64,19,2,1,1
116,18,2,2,1
15,11,1,2,1
72,10,1,1,1
68,4,2,3,1
82,10,2,2,1
58,1,2,1,1
57,19,2,3,1
83,17,2,3,1
12,16,2,3,1
49,8,1,3,1
101,4,1,3,1
28,9,2,3,1
80,2,2,1,1
198,6,2,3,1
196,3,1,1,1
170,7,2,2,1
62,19,2,1,1
45,20,2,1,1
105,2,2,1,1
25,8,2,1,1
75,9,1,3,1
62,11,2,3,1
55,3,2,1,1
107,9,2,1,1
195,10,2,1,1
38,13,2,2,1
142,8,2,1,1
211,3,2,1,1
47,16,1,3,1
31,1,2,3,1
210,18,1,3,1
168,18,2,2,1
25,11,2,3,1
186,7,2,2,1
138,2,1,2,1
137,14,1,2,1
117,20,2,1,1
77,14,1,3,1
106,18,2,3,1
89,6,2,1,1
205,5,2,2,1
186,7,1,2,1
108,1,2,1,1
140,2,2,1,1
150,6,2,3,1
40,19,2,3,1
76,19,1,3,1
60,9,1,2,1
209,5,2,3,1
53,3,2,1,1
191,1,1,3,1
45,20,1,3,1
153,3,2,2,1
75,16,2,2,1
197,10,2,3,1
2,20,1,2,1
145,16,2,3,1
93,19,2,1,1
39,6,1,3,1
60,9,1,1,1
1,14,1,3,1
132,16,2,2,1
212,11,1,2,1
94,16,1,2,1
131,20,1,2,1
192,3,2,1,1
196,13,1,3,1
172,15,2,2,1
130,7,1,1,1
180,12,2,2,1
194,9,2,3,1
145,7,2,3,1
158,20,2,3,1
33,14,1,3,1
53,14,1,2,1
89,19,1,3,1
3,7,2,3,1
166,3,2,3,1
207,19,2,1,1
84,5,2,3,1
164,5,1,3,1
40,16,2,2,1
60,2,2,2,1
30,7,2,1,1
79,19,2,2,1
106,12,2,2,1
16,12,1,2,1
42,12,1,3,1
195,10,2,2,1
31,20,1,2,1
10,4,1,2,1
31,15,2,3,1
169,1,2,1,1
203,9,2,2,1
54,7,1,3,1
